country_code,country_name,subject,scale,units,year_2020,year_2021
KEN,Kenya,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.695,3.311
KEN,Kenya,"Inflation, average consumer prices",Percent change,,5.1,5
KEN,Kenya,"Inflation, end of period consumer prices",Percent change,,4.5,5
KEN,Kenya,Unemployment rate,Percent of total labor force,,,
KEN,Kenya,General government net lending/borrowing,Percent of GDP,,-7.715,-6.885
KEN,Kenya,Current account balance,Percent of GDP,,-4.555,-4.39
KIR,Kiribati,"Gross domestic product, constant prices",Percent change,,0.001,2.216
KIR,Kiribati,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.253,0.264
KIR,Kiribati,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.664,0.522
KIR,Kiribati,"Inflation, average consumer prices",Percent change,,1.808,1.728
KIR,Kiribati,"Inflation, end of period consumer prices",Percent change,,1.512,1.851
KIR,Kiribati,Unemployment rate,Percent of total labor force,,,
KIR,Kiribati,General government net lending/borrowing,Percent of GDP,,-18.675,1.036
KIR,Kiribati,Current account balance,Percent of GDP,,1.549,5.502
KOR,Korea,"Gross domestic product, constant prices",Percent change,,-1.178,3.403
KOR,Korea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2307.72,2432.78
KOR,Korea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.315,3.321
KOR,Korea,"Inflation, average consumer prices",Percent change,,0.27,0.449
KOR,Korea,"Inflation, end of period consumer prices",Percent change,,-0.3,0.9
KOR,Korea,Unemployment rate,Percent of total labor force,,4.5,4.5
KOR,Korea,General government net lending/borrowing,Percent of GDP,,-1.842,-1.567
KOR,Korea,Current account balance,Percent of GDP,,4.946,4.822
UVK,Kosovo,"Gross domestic product, constant prices",Percent change,,-5,7.5
UVK,Kosovo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,21.155,23.185
UVK,Kosovo,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.378,7.072
UVK,Kosovo,"Inflation, average consumer prices",Percent change,,1.273,1.551
UVK,Kosovo,"Inflation, end of period consumer prices",Percent change,,1.632,1.922
UVK,Kosovo,Unemployment rate,Percent of total labor force,,,
UVK,Kosovo,General government net lending/borrowing,Percent of GDP,,-4.818,-2.714
UVK,Kosovo,Current account balance,Percent of GDP,,-7.401,-5.132
KWT,Kuwait,"Gross domestic product, constant prices",Percent change,,-1.107,3.437
KWT,Kuwait,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,307.193,323.945
KWT,Kuwait,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.79,0.631
KWT,Kuwait,"Inflation, average consumer prices",Percent change,,0.5,2.3
KWT,Kuwait,"Inflation, end of period consumer prices",Percent change,,0.6,2.5
KWT,Kuwait,Unemployment rate,Percent of total labor force,,,
KWT,Kuwait,General government net lending/borrowing,Percent of GDP,,-11.326,-14.06
KWT,Kuwait,Current account balance,Percent of GDP,,-10.242,-7.809
KGZ,Kyrgyz Republic,"Gross domestic product, constant prices",Percent change,,-4.044,7.985
KGZ,Kyrgyz Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,25.187,27.728
KGZ,Kyrgyz Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.931,5.753
KGZ,Kyrgyz Republic,"Inflation, average consumer prices",Percent change,,10.611,7.174
KGZ,Kyrgyz Republic,"Inflation, end of period consumer prices",Percent change,,11.985,7.014
KGZ,Kyrgyz Republic,Unemployment rate,Percent of total labor force,,6.605,6.605
KGZ,Kyrgyz Republic,General government net lending/borrowing,Percent of GDP,,-9.627,-6.43
KGZ,Kyrgyz Republic,Current account balance,Percent of GDP,,-16.572,-11.014
LAO,Lao P.D.R.,"Gross domestic product, constant prices",Percent change,,0.723,5.601
LAO,Lao P.D.R.,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,57.912,62.348
LAO,Lao P.D.R.,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.707,4.102
LAO,Lao P.D.R.,"Inflation, average consumer prices",Percent change,,6.5,4.9
LAO,Lao P.D.R.,"Inflation, end of period consumer prices",Percent change,,6.3,3.5
LAO,Lao P.D.R.,Unemployment rate,Percent of total labor force,,,
LAO,Lao P.D.R.,General government net lending/borrowing,Percent of GDP,,-6.233,-5.522
LAO,Lao P.D.R.,Current account balance,Percent of GDP,,-10.89,-9.192
LVA,Latvia,"Gross domestic product, constant prices",Percent change,,-8.608,8.285
LVA,Latvia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,54.7,60.387
LVA,Latvia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.425,8.502
LVA,Latvia,"Inflation, average consumer prices",Percent change,,-0.293,3.023
LVA,Latvia,"Inflation, end of period consumer prices",Percent change,,0.496,2.446
LVA,Latvia,Unemployment rate,Percent of total labor force,,8,6.3
LVA,Latvia,General government net lending/borrowing,Percent of GDP,,-5.169,-3.663
LVA,Latvia,Current account balance,Percent of GDP,,-2.161,-1.458
LBN,Lebanon,"Gross domestic product, constant prices",Percent change,,-12.019,
LBN,Lebanon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,74.628,
LBN,Lebanon,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-11.629,
LBN,Lebanon,"Inflation, average consumer prices",Percent change,,17.002,
LBN,Lebanon,"Inflation, end of period consumer prices",Percent change,,17.458,
LBN,Lebanon,Unemployment rate,Percent of total labor force,,,
LBN,Lebanon,General government net lending/borrowing,Percent of GDP,,-15.285,
LBN,Lebanon,Current account balance,Percent of GDP,,-12.642,
LSO,Lesotho,"Gross domestic product, constant prices",Percent change,,-5.208,5.122
LSO,Lesotho,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,6.593,7.066
LSO,Lesotho,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.844,3.864
LSO,Lesotho,"Inflation, average consumer prices",Percent change,,3.6,3.6
LSO,Lesotho,"Inflation, end of period consumer prices",Percent change,,3,4.2
LSO,Lesotho,Unemployment rate,Percent of total labor force,,,
LSO,Lesotho,General government net lending/borrowing,Percent of GDP,,-1.984,-7.033
LSO,Lesotho,Current account balance,Percent of GDP,,6.889,-8.204
LBR,Liberia,"Gross domestic product, constant prices",Percent change,,-2.501,4.025
LBR,Liberia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,6.16,6.533
LBR,Liberia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.911,1.475
LBR,Liberia,"Inflation, average consumer prices",Percent change,,13.829,13.5
LBR,Liberia,"Inflation, end of period consumer prices",Percent change,,15,12
LBR,Liberia,Unemployment rate,Percent of total labor force,,,
LBR,Liberia,General government net lending/borrowing,Percent of GDP,,-5.236,-4.109
LBR,Liberia,Current account balance,Percent of GDP,,-18.667,-19.717
LBY,Libya,"Gross domestic product, constant prices",Percent change,,-58.662,80.656
LBY,Libya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,34.753,64.007
LBY,Libya,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-59.071,78.869
LBY,Libya,"Inflation, average consumer prices",Percent change,,22.256,15.119
LBY,Libya,"Inflation, end of period consumer prices",Percent change,,22.256,15.119
LBY,Libya,Unemployment rate,Percent of total labor force,,,
LBY,Libya,General government net lending/borrowing,Percent of GDP,,-7.223,-19.083
LBY,Libya,Current account balance,Percent of GDP,,-6.584,-8.337
LTU,Lithuania,"Gross domestic product, constant prices",Percent change,,-8.086,8.155
LTU,Lithuania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,95.286,105.066
LTU,Lithuania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.578,8.808
LTU,Lithuania,"Inflation, average consumer prices",Percent change,,-0.254,1.67
LTU,Lithuania,"Inflation, end of period consumer prices",Percent change,,-0.254,1.67
LTU,Lithuania,Unemployment rate,Percent of total labor force,,8.9,8.1
LTU,Lithuania,General government net lending/borrowing,Percent of GDP,,-7.629,-2.529
LTU,Lithuania,Current account balance,Percent of GDP,,6.013,4.455
LUX,Luxembourg,"Gross domestic product, constant prices",Percent change,,-4.898,4.846
LUX,Luxembourg,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,65.868,70.407
LUX,Luxembourg,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.74,2.815
LUX,Luxembourg,"Inflation, average consumer prices",Percent change,,0.705,1.478
LUX,Luxembourg,"Inflation, end of period consumer prices",Percent change,,0.6,1.3
LUX,Luxembourg,Unemployment rate,Percent of total labor force,,7.717,6.796
LUX,Luxembourg,General government net lending/borrowing,Percent of GDP,,-2.768,0.236
LUX,Luxembourg,Current account balance,Percent of GDP,,3.959,4.367
MAC,Macao SAR,"Gross domestic product, constant prices",Percent change,,-29.616,32.017
MAC,Macao SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,53.662,72.224
MAC,Macao SAR,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-30.996,29.555
MAC,Macao SAR,"Inflation, average consumer prices",Percent change,,2,2.3
MAC,Macao SAR,"Inflation, end of period consumer prices",Percent change,,2,2.3
MAC,Macao SAR,Unemployment rate,Percent of total labor force,,1.975,1.825
MAC,Macao SAR,General government net lending/borrowing,Percent of GDP,,2.745,14.465
MAC,Macao SAR,Current account balance,Percent of GDP,,13.076,30.004
MDG,Madagascar,"Gross domestic product, constant prices",Percent change,,0.39,5.014
MDG,Madagascar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,53.409,57.18
MDG,Madagascar,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-2.12,2.421
MDG,Madagascar,"Inflation, average consumer prices",Percent change,,5.5,6.5
MDG,Madagascar,"Inflation, end of period consumer prices",Percent change,,6,5.9
MDG,Madagascar,Unemployment rate,Percent of total labor force,,,
MDG,Madagascar,General government net lending/borrowing,Percent of GDP,,-4.011,-4.802
MDG,Madagascar,Current account balance,Percent of GDP,,-2.88,-3.008
MWI,Malawi,"Gross domestic product, constant prices",Percent change,,1,2.5
MWI,Malawi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,25.57,26.72
MWI,Malawi,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.827,-0.369
MWI,Malawi,"Inflation, average consumer prices",Percent change,,14.011,10.708
MWI,Malawi,"Inflation, end of period consumer prices",Percent change,,15.739,7.832
MWI,Malawi,Unemployment rate,Percent of total labor force,,,
MWI,Malawi,General government net lending/borrowing,Percent of GDP,,-6.257,-5.182
MWI,Malawi,Current account balance,Percent of GDP,,-17.939,-17.902
MYS,Malaysia,"Gross domestic product, constant prices",Percent change,,-1.7,9
MYS,Malaysia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1064.8,1183.26
MYS,Malaysia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-2.941,7.625
MYS,Malaysia,"Inflation, average consumer prices",Percent change,,0.106,2.792
MYS,Malaysia,"Inflation, end of period consumer prices",Percent change,,0.106,2.792
MYS,Malaysia,Unemployment rate,Percent of total labor force,,4.9,3.4
MYS,Malaysia,General government net lending/borrowing,Percent of GDP,,-4.2,-3.6
MYS,Malaysia,Current account balance,Percent of GDP,,-0.099,1.728
MDV,Maldives,"Gross domestic product, constant prices",Percent change,,-8.074,13.2
MDV,Maldives,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,7.839,9.047
MDV,Maldives,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-9.592,11.332
MDV,Maldives,"Inflation, average consumer prices",Percent change,,1.524,1.475
MDV,Maldives,"Inflation, end of period consumer prices",Percent change,,1.405,2.118
MDV,Maldives,Unemployment rate,Percent of total labor force,,,
MDV,Maldives,General government net lending/borrowing,Percent of GDP,,-11.987,-6.427
MDV,Maldives,Current account balance,Percent of GDP,,-23.135,-11.844
MLI,Mali,"Gross domestic product, constant prices",Percent change,,1.532,4.133
MLI,Mali,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,48.443,51.428
MLI,Mali,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.418,1.098
MLI,Mali,"Inflation, average consumer prices",Percent change,,0.569,1.5
MLI,Mali,"Inflation, end of period consumer prices",Percent change,,1.5,1.7
MLI,Mali,Unemployment rate,Percent of total labor force,,,
MLI,Mali,General government net lending/borrowing,Percent of GDP,,-5.811,-3.3
MLI,Mali,Current account balance,Percent of GDP,,-3.661,-3.857
MLT,Malta,"Gross domestic product, constant prices",Percent change,,-2.814,7.018
MLT,Malta,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,22.496,24.544
MLT,Malta,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.439,5.54
MLT,Malta,"Inflation, average consumer prices",Percent change,,0.582,1.933
MLT,Malta,"Inflation, end of period consumer prices",Percent change,,0.336,2.001
MLT,Malta,Unemployment rate,Percent of total labor force,,5,4.4
MLT,Malta,General government net lending/borrowing,Percent of GDP,,-7.227,-0.446
MLT,Malta,Current account balance,Percent of GDP,,3.332,6.091
MHL,Marshall Islands,"Gross domestic product, constant prices",Percent change,,-0.24,3.19
MHL,Marshall Islands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.211,0.222
MHL,Marshall Islands,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.835,2.371
MHL,Marshall Islands,"Inflation, average consumer prices",Percent change,,-0.871,2.245
MHL,Marshall Islands,"Inflation, end of period consumer prices",Percent change,,-0.871,2.245
MHL,Marshall Islands,Unemployment rate,Percent of total labor force,,,
MHL,Marshall Islands,General government net lending/borrowing,Percent of GDP,,0.34,-0.306
MHL,Marshall Islands,Current account balance,Percent of GDP,,-0.891,-3.68
MRT,Mauritania,"Gross domestic product, constant prices",Percent change,,-1.986,4.18
MRT,Mauritania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,25.109,26.669
MRT,Mauritania,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.088,1.904
MRT,Mauritania,"Inflation, average consumer prices",Percent change,,3.851,4.5
MRT,Mauritania,"Inflation, end of period consumer prices",Percent change,,5,4
MRT,Mauritania,Unemployment rate,Percent of total labor force,,,
MRT,Mauritania,General government net lending/borrowing,Percent of GDP,,-2.625,-0.185
MRT,Mauritania,Current account balance,Percent of GDP,,-17.349,-17.401
MUS,Mauritius,"Gross domestic product, constant prices",Percent change,,-6.8,5.9
MUS,Mauritius,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,29.631,31.991
MUS,Mauritius,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.828,5.92
MUS,Mauritius,"Inflation, average consumer prices",Percent change,,4.684,6.967
MUS,Mauritius,"Inflation, end of period consumer prices",Percent change,,8.5,5.643
MUS,Mauritius,Unemployment rate,Percent of total labor force,,17,9
MUS,Mauritius,General government net lending/borrowing,Percent of GDP,,-10.558,-5.89
MUS,Mauritius,Current account balance,Percent of GDP,,-8.445,-7.913
MEX,Mexico,"Gross domestic product, constant prices",Percent change,,-6.63,3.024
MEX,Mexico,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2458.34,2582.07
MEX,Mexico,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.613,1.973
MEX,Mexico,"Inflation, average consumer prices",Percent change,,2.702,2.782
MEX,Mexico,"Inflation, end of period consumer prices",Percent change,,2.435,3
MEX,Mexico,Unemployment rate,Percent of total labor force,,5.327,3.51
MEX,Mexico,General government net lending/borrowing,Percent of GDP,,-4.2,-2.2
MEX,Mexico,Current account balance,Percent of GDP,,-0.28,-0.397
FSM,Micronesia,"Gross domestic product, constant prices",Percent change,,-0.384,1.385
FSM,Micronesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.363,0.376
FSM,Micronesia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.494,1.274
FSM,Micronesia,"Inflation, average consumer prices",Percent change,,1.951,2
FSM,Micronesia,"Inflation, end of period consumer prices",Percent change,,1.951,2
FSM,Micronesia,Unemployment rate,Percent of total labor force,,,
FSM,Micronesia,General government net lending/borrowing,Percent of GDP,,5.676,5.241
FSM,Micronesia,Current account balance,Percent of GDP,,3.371,5.271
MDA,Moldova,"Gross domestic product, constant prices",Percent change,,-3,4.1
MDA,Moldova,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,26.642,28.275
MDA,Moldova,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3,5.988
MDA,Moldova,"Inflation, average consumer prices",Percent change,,2.778,2.255
MDA,Moldova,"Inflation, end of period consumer prices",Percent change,,0.5,6
MDA,Moldova,Unemployment rate,Percent of total labor force,,3.022,5
MDA,Moldova,General government net lending/borrowing,Percent of GDP,,-5.5,-3.3
MDA,Moldova,Current account balance,Percent of GDP,,-8.28,-10.079
MNG,Mongolia,"Gross domestic product, constant prices",Percent change,,-1,8
MNG,Mongolia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,46.55,51.254
MNG,Mongolia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-2.846,5.986
MNG,Mongolia,"Inflation, average consumer prices",Percent change,,5.586,6.5
MNG,Mongolia,"Inflation, end of period consumer prices",Percent change,,6,7
MNG,Mongolia,Unemployment rate,Percent of total labor force,,6.318,5.686
MNG,Mongolia,General government net lending/borrowing,Percent of GDP,,-5.252,-3.777
MNG,Mongolia,Current account balance,Percent of GDP,,-10.201,-10.477
MNE,Montenegro,"Gross domestic product, constant prices",Percent change,,-8.976,6.472
MNE,Montenegro,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,11.549,12.537
MNE,Montenegro,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-9.035,6.404
MNE,Montenegro,"Inflation, average consumer prices",Percent change,,0.659,0.88
MNE,Montenegro,"Inflation, end of period consumer prices",Percent change,,0.355,1.205
MNE,Montenegro,Unemployment rate,Percent of total labor force,,,
MNE,Montenegro,General government net lending/borrowing,Percent of GDP,,-10.849,-2.804
MNE,Montenegro,Current account balance,Percent of GDP,,-17.949,-13.975
MAR,Morocco,"Gross domestic product, constant prices",Percent change,,-3.744,4.777
MAR,Morocco,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,317.001,338.62
MAR,Morocco,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.721,3.735
MAR,Morocco,"Inflation, average consumer prices",Percent change,,0.3,1.3
MAR,Morocco,"Inflation, end of period consumer prices",Percent change,,0.3,1.3
MAR,Morocco,Unemployment rate,Percent of total labor force,,12.5,10.5
MAR,Morocco,General government net lending/borrowing,Percent of GDP,,-7.109,-4.486
MAR,Morocco,Current account balance,Percent of GDP,,-7.79,-4.251
MOZ,Mozambique,"Gross domestic product, constant prices",Percent change,,2.2,4.7
MOZ,Mozambique,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,45.99,49.091
MOZ,Mozambique,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.471,1.975
MOZ,Mozambique,"Inflation, average consumer prices",Percent change,,5.194,5.706
MOZ,Mozambique,"Inflation, end of period consumer prices",Percent change,,6,5.501
MOZ,Mozambique,Unemployment rate,Percent of total labor force,,,
MOZ,Mozambique,General government net lending/borrowing,Percent of GDP,,-7.739,-6.054
MOZ,Mozambique,Current account balance,Percent of GDP,,-68.792,-74.001
MMR,Myanmar,"Gross domestic product, constant prices",Percent change,,1.799,7.535
MMR,Myanmar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,366.079,401.34
MMR,Myanmar,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,1.098,6.83
MMR,Myanmar,"Inflation, average consumer prices",Percent change,,6.19,6.267
MMR,Myanmar,"Inflation, end of period consumer prices",Percent change,,5.431,6.107
MMR,Myanmar,Unemployment rate,Percent of total labor force,,4,4
MMR,Myanmar,General government net lending/borrowing,Percent of GDP,,-4.687,-4.643
MMR,Myanmar,Current account balance,Percent of GDP,,-4.746,-3.854
NAM,Namibia,"Gross domestic product, constant prices",Percent change,,-2.484,3.196
NAM,Namibia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,26.261,27.629
NAM,Namibia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.302,1.272
NAM,Namibia,"Inflation, average consumer prices",Percent change,,2.432,3.163
NAM,Namibia,"Inflation, end of period consumer prices",Percent change,,2.432,3.163
NAM,Namibia,Unemployment rate,Percent of total labor force,,,
NAM,Namibia,General government net lending/borrowing,Percent of GDP,,-6.951,-7.212
NAM,Namibia,Current account balance,Percent of GDP,,-0.437,-1.042
NRU,Nauru,"Gross domestic product, constant prices",Percent change,,-1.675,1.301
NRU,Nauru,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.124,0.128
NRU,Nauru,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.561,-0.643
NRU,Nauru,"Inflation, average consumer prices",Percent change,,1.5,1.7
NRU,Nauru,"Inflation, end of period consumer prices",Percent change,,1.3,1.6
NRU,Nauru,Unemployment rate,Percent of total labor force,,,
NRU,Nauru,General government net lending/borrowing,Percent of GDP,,5.276,2.521
NRU,Nauru,Current account balance,Percent of GDP,,5.195,2.713
NPL,Nepal,"Gross domestic product, constant prices",Percent change,,2.509,4.975
NPL,Nepal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,97.365,104.202
NPL,Nepal,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,1.186,3.62
NPL,Nepal,"Inflation, average consumer prices",Percent change,,6.71,6.749
NPL,Nepal,"Inflation, end of period consumer prices",Percent change,,7.498,6
NPL,Nepal,Unemployment rate,Percent of total labor force,,,
NPL,Nepal,General government net lending/borrowing,Percent of GDP,,-5.975,-4.995
NPL,Nepal,Current account balance,Percent of GDP,,-6.451,-6.156
NLD,Netherlands,"Gross domestic product, constant prices",Percent change,,-7.493,2.983
NLD,Netherlands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,935.911,982.624
NLD,Netherlands,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.761,2.686
NLD,Netherlands,"Inflation, average consumer prices",Percent change,,0.495,1.154
NLD,Netherlands,"Inflation, end of period consumer prices",Percent change,,0.825,1.254
NLD,Netherlands,Unemployment rate,Percent of total labor force,,6.5,5
NLD,Netherlands,General government net lending/borrowing,Percent of GDP,,-6.164,-2.136
NLD,Netherlands,Current account balance,Percent of GDP,,9.006,9.384
NZL,New Zealand,"Gross domestic product, constant prices",Percent change,,-7.212,5.941
NZL,New Zealand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,194.919,210.525
NZL,New Zealand,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.321,4.832
NZL,New Zealand,"Inflation, average consumer prices",Percent change,,1.224,1.382
NZL,New Zealand,"Inflation, end of period consumer prices",Percent change,,1.002,1.508
NZL,New Zealand,Unemployment rate,Percent of total labor force,,9.223,6.814
NZL,New Zealand,General government net lending/borrowing,Percent of GDP,,-5.181,-3.388
NZL,New Zealand,Current account balance,Percent of GDP,,-4.515,-3.214
NIC,Nicaragua,"Gross domestic product, constant prices",Percent change,,-6,0
NIC,Nicaragua,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,32.991,33.634
NIC,Nicaragua,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.547,-0.732
NIC,Nicaragua,"Inflation, average consumer prices",Percent change,,4.474,3.956
NIC,Nicaragua,"Inflation, end of period consumer prices",Percent change,,10.194,3.956
NIC,Nicaragua,Unemployment rate,Percent of total labor force,,11.061,11.1
NIC,Nicaragua,General government net lending/borrowing,Percent of GDP,,-4.388,-5.222
NIC,Nicaragua,Current account balance,Percent of GDP,,1.247,0.591
NER,Niger,"Gross domestic product, constant prices",Percent change,,0.953,8.113
NER,Niger,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,35.211,38.81
NER,Niger,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-2.784,4.137
NER,Niger,"Inflation, average consumer prices",Percent change,,4.4,1.7
NER,Niger,"Inflation, end of period consumer prices",Percent change,,2.255,2
NER,Niger,Unemployment rate,Percent of total labor force,,,
NER,Niger,General government net lending/borrowing,Percent of GDP,,-4.196,-3.306
NER,Niger,Current account balance,Percent of GDP,,-13.541,-16.589
NGA,Nigeria,"Gross domestic product, constant prices",Percent change,,-3.41,2.365
NGA,Nigeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1181.4,1232.91
NGA,Nigeria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.835,-0.183
NGA,Nigeria,"Inflation, average consumer prices",Percent change,,13.393,12.37
NGA,Nigeria,"Inflation, end of period consumer prices",Percent change,,13.873,11.296
NGA,Nigeria,Unemployment rate,Percent of total labor force,,,
NGA,Nigeria,General government net lending/borrowing,Percent of GDP,,-6.421,-5.842
NGA,Nigeria,Current account balance,Percent of GDP,,-3.324,-2.513
MKD,North Macedonia,"Gross domestic product, constant prices",Percent change,,-4,7
MKD,North Macedonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,33.517,36.563
MKD,North Macedonia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4,7
MKD,North Macedonia,"Inflation, average consumer prices",Percent change,,-0.907,0.833
MKD,North Macedonia,"Inflation, end of period consumer prices",Percent change,,-0.4,1
MKD,North Macedonia,Unemployment rate,Percent of total labor force,,20.387,18.982
MKD,North Macedonia,General government net lending/borrowing,Percent of GDP,,-6.505,-3.052
MKD,North Macedonia,Current account balance,Percent of GDP,,-2.172,-1.305
NOR,Norway,"Gross domestic product, constant prices",Percent change,,-6.269,2.949
NOR,Norway,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,384.298,403.344
NOR,Norway,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.828,2.335
NOR,Norway,"Inflation, average consumer prices",Percent change,,2.4,2.2
NOR,Norway,"Inflation, end of period consumer prices",Percent change,,2.4,2.2
NOR,Norway,Unemployment rate,Percent of total labor force,,13,7
NOR,Norway,General government net lending/borrowing,Percent of GDP,,0.784,3.682
NOR,Norway,Current account balance,Percent of GDP,,-1.314,0.089
OMN,Oman,"Gross domestic product, constant prices",Percent change,,-2.844,2.972
OMN,Oman,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,200.203,210.173
OMN,Oman,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.735,-0.121
OMN,Oman,"Inflation, average consumer prices",Percent change,,1,3.4
OMN,Oman,"Inflation, end of period consumer prices",Percent change,,1,3.4
OMN,Oman,Unemployment rate,Percent of total labor force,,,
OMN,Oman,General government net lending/borrowing,Percent of GDP,,-16.904,-14.823
OMN,Oman,Current account balance,Percent of GDP,,-14.188,-11.067
PAK,Pakistan,"Gross domestic product, constant prices",Percent change,,-1.547,1.971
PAK,Pakistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1190.56,1237.69
PAK,Pakistan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.36,0.093
PAK,Pakistan,"Inflation, average consumer prices",Percent change,,11.12,7.997
PAK,Pakistan,"Inflation, end of period consumer prices",Percent change,,9.758,7.353
PAK,Pakistan,Unemployment rate,Percent of total labor force,,4.5,5.11
PAK,Pakistan,General government net lending/borrowing,Percent of GDP,,-9.197,-6.469
PAK,Pakistan,Current account balance,Percent of GDP,,-1.706,-2.359
PLW,Palau,"Gross domestic product, constant prices",Percent change,,-11.949,14.44
PLW,Palau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.256,0.299
